packet_size,bandwidth_tx,pps_tx,cpu_usage,cpu_quota
128.0,571.39,52368.0,86.52,39891.53757888714
128.0,576.71,52971.0,85.22,39890.533562822886
128.0,560.68,55236.0,100.2,87072.88019878391
64.0,344.72,35886.0,100.2,88748.948340816
1024.0,409.24,34650.0,21.43,10918.330464716006
128.0,566.5,55395.0,100.2,88560.16924842227
256.0,319.12,27326.0,31.37,10000.0
256.0,866.55,81039.0,100.1,65205.886750464604
512.0,1070.0,93101.0,71.75,50141.56626506086
256.0,876.26,82699.0,99.95,66797.20440202324
1024.0,964.53,81827.0,42.53,29122.432587493106
256.0,668.27,60134.0,70.87,37224.067699369174
512.0,1810.0,155695.0,97.0,79962.94702620042
128.0,428.38,38177.0,64.33,20010.040160642744
64.0,363.63,38619.0,100.18,73620.57276725951
512.0,1520.0,131316.0,91.65,69936.11589214037
512.0,1780.0,152783.0,97.47,80257.45840504912
64.0,404.32,36407.0,88.12,26867.761522279732
64.0,404.72,40423.0,98.78,37801.702046280596
1024.0,418.72,35440.0,21.33,18752.008032128655
128.0,582.56,53159.0,85.15,39995.95524956988
64.0,347.25,29974.0,71.27,10040.763052208837
1024.0,2940.0,249180.0,97.67,90105.25304682048
64.0,423.51,39897.0,95.93,29613.38688085702
64.0,311.01,27030.0,71.88,10040.763052208837
128.0,549.6,54615.0,100.18,75878.33224339262
512.0,706.58,60962.0,48.03,30018.57907821793
64.0,405.91,40025.0,99.92,41910.91508892729
256.0,679.74,60821.0,71.75,39577.91164658653
128.0,549.91,55569.0,100.2,97272.10306427174
128.0,408.74,36403.0,60.27,20014.056224899774
256.0,443.0,39022.0,45.82,20000.00000000017
512.0,1670.0,144245.0,100.17,96230.55555555598
128.0,591.39,53768.0,86.4,42260.81468732076
64.0,359.44,37893.0,100.2,66403.27580719136
256.0,546.25,48769.0,58.03,30000.000000000346
128.0,539.81,53060.0,100.2,76018.32635236243
1024.0,996.92,84600.0,43.15,29716.838783706582
256.0,319.27,27389.0,31.9,10000.0
64.0,407.64,38935.0,95.95,34262.34461656172
256.0,835.74,75761.0,100.62,91213.9249639255
256.0,982.06,89594.0,100.13,80373.05542516397
256.0,426.57,37467.0,44.27,19824.29718875519
128.0,346.07,29742.0,47.98,10000.0
64.0,365.73,38649.0,100.22,79812.835758619
256.0,936.89,86439.0,100.22,96895.62970496729
512.0,737.48,63285.0,46.73,29887.119908204557
512.0,527.83,45530.0,37.68,20000.00000000017
512.0,1570.0,136225.0,100.2,95394.58787531113
512.0,1810.0,155313.0,97.03,79962.94702620042
512.0,694.83,59787.0,46.9,28045.180722891866
64.0,366.16,37784.0,100.2,85014.9967836716
1024.0,421.65,35712.0,21.83,19227.9116465865
64.0,375.23,38924.0,100.15,75228.57142857151
512.0,906.36,78560.0,60.73,40012.04819277127
256.0,759.28,69552.0,100.08,59977.47179192924
1024.0,1870.0,159149.0,76.65,60047.01663797972
128.0,552.57,54579.0,100.22,80584.20217667235
64.0,386.58,34701.0,85.62,19770.59667240405
64.0,368.89,37506.0,100.17,86704.50897830423
1024.0,424.09,35920.0,21.92,19227.9116465865
64.0,308.96,26810.0,70.25,10040.763052208837
256.0,942.79,87765.0,100.2,96053.59055268727
128.0,552.81,53099.0,100.18,74052.91114507985
512.0,1790.0,154161.0,97.27,80161.07286288045
128.0,319.04,27497.0,45.89,10000.0
64.0,376.4,39790.0,100.15,67490.9160451329
64.0,369.33,38676.0,100.17,82059.02226956449
64.0,346.96,29966.0,72.35,10075.903614457831
512.0,1350.0,116413.0,80.65,58838.37297240852
1024.0,2510.0,213229.0,100.0,94122.06836002046
128.0,569.81,53812.0,99.4,57042.76630330777
512.0,1090.0,94094.0,71.5,50213.855421687374
128.0,347.05,29842.0,48.11,10000.0
64.0,375.98,37712.0,98.62,35566.43239625191
1024.0,1320.0,111548.0,53.41,40048.19277108451
64.0,375.68,38310.0,100.18,83375.26820568994
128.0,570.09,55269.0,100.18,82582.02246214308
256.0,815.01,73759.0,81.1,50002.008032129204
64.0,369.82,39039.0,100.2,75533.64998455359
1024.0,2860.0,242699.0,98.3,90848.57873050754
512.0,1750.0,149549.0,100.22,98002.04628035966
1024.0,977.52,82980.0,43.33,29851.37693631703
256.0,937.93,88089.0,100.22,99004.60369617
1024.0,1240.0,105102.0,53.18,40000.00000000018
128.0,569.02,55511.0,100.22,94047.00490272793
256.0,961.19,88092.0,100.2,96610.94855612952
512.0,896.73,77463.0,59.7,39987.9518072291
512.0,1370.0,119841.0,100.2,96131.20099445434
128.0,487.0,44087.0,72.38,29979.747561675613
256.0,685.02,61503.0,71.45,40019.21017402961
512.0,1770.0,152477.0,98.23,81342.19736087248
1024.0,2720.0,231082.0,100.3,99623.92426850257
64.0,376.92,38818.0,100.18,79580.67986230645
128.0,608.72,58035.0,99.45,58527.954675845685
64.0,389.19,35239.0,84.97,20155.880665519384
128.0,565.66,55685.0,100.2,97355.19219736081
128.0,585.29,56205.0,99.98,60468.55039204368
128.0,633.29,59197.0,95.35,49657.02811245045
512.0,1720.0,148100.0,96.55,80243.66991776665
