packet_size,SLO,pps_tx,cpu_usage,expected cpu_quota,,throughput,cpu,,
256,319.12,27326,31.37,10000,,300.09,91.53,,소수는 소수점 첫째자리에서 반올림
256,319.27,27389,31.9,10000,,300.09,91.53,1과 동일,
128,346.07,29742,47.98,10000,,305.18,22.7,,
128,319.04,27497,45.89,10000,,305.18,22.7,3과 등일,
128,347.05,29842,48.11,10000,,305.18,22.7,3과 동일,
64,347.25,29974,71.27,10040.76305,,292.6,21.1,,
64,311.01,27030,71.88,10040.76305,,292.6,21.1,7과 동일,
64,308.96,26810,70.25,10040.76305,,292.6,21.1,7과 동일,
64,346.96,29966,72.35,10075.90361,,279.31,91.13,,
1024,409.24,34650,21.43,10918.33046,,360.56,35.8,,
1024,418.72,35440,21.33,18752.00803,,501.56,28.83,,
1024,421.65,35712,21.83,19227.91165,,513.87,27.52,,
1024,424.09,35920,21.92,19227.91165,,513.87,27.52,,
64,386.58,34701,85.62,19770.59667,,356.85,97.82,,
256,426.57,37467,44.27,19824.29719,,442.55,100,,
256,443,39022,45.82,20000,,448.06,31.45,,
512,527.83,45530,37.68,20000,,485.74,30.15,,
128,428.38,38177,64.33,20010.04016,,410.24,34.53,,
128,408.74,36403,60.27,20014.05622,,401.31,85.3,,
64,389.19,35239,84.97,20155.88067,,362.76,100,,
64,404.32,36407,88.12,26867.76152,,452.37,45.9,,
512,694.83,59787,46.9,28045.18072,,620.8,41.09,,
1024,964.53,81827,42.53,29122.43259,,746.79,41.47,,
64,423.51,39897,95.93,29613.38688,,468.07,100,,
1024,996.92,84600,43.15,29716.83878,,756.33,100,,
1024,977.52,82980,43.33,29851.37694,,719.67,44.03,,
512,737.48,63285,46.73,29887.11991,,662.85,41.72,,
128,487,44087,72.38,29979.74756,,514.27,48.07,,
256,546.25,48769,58.03,30000,,603.12,100,,
512,706.58,60962,48.03,30018.57908,,664.11,100,,
64,407.64,38935,95.95,34262.34462,,503.81,57.38,,
64,375.98,37712,98.62,35566.4324,,497.47,58.33,,
256,668.27,60134,70.87,37224.0677,,681.23,53.8,,
64,404.72,40423,98.78,37801.70205,,469.24,100,,
256,679.74,60821,71.75,39577.91165,,720.33,100,,
128,576.71,52971,85.22,39890.53356,,665.91,55.9,,
128,571.39,52368,86.52,39891.53758,,670.8,63.6,,
512,896.73,77463,59.7,39987.95181,,828.48,98.2,,
128,582.56,53159,85.15,39995.95525,,709.4,100,,
1024,1240,105102,53.18,40000,,933.65,56.72,,
512,906.36,78560,60.73,40012.04819,,845.93,78.9,,
256,685.02,61503,71.45,40019.21017,,746.14,100,,
1024,1320,111548,53.41,40048.19277,,951.24,100,,
64,405.91,40025,99.92,41910.91509,,467.35,68.3,,
128,591.39,53768,86.4,42260.81469,,752,67.12,,
128,633.29,59197,95.35,49657.02811,,807.79,79.05,,
256,815.01,73759,81.1,50002.00803,,902.25,100,,
512,1070,93101,71.75,50141.56627,,1069.2,100,,
512,1090,94094,71.5,50213.85542,,1006.06,67.97,,
